mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
30	30	59	59	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	279											
30	30	119/2	119/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	280											
31	31	60	60	0.0		0	0	StaffText	2/4	2	1	0							arco								
31	31	60	60	0.0		0	0	Dynamic	2/4	2	1	0					pp										
31	31	60	60	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	281											
31	31	121/2	121/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	282											
31	31	61	61	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	283											
31	31	123/2	123/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	284											
31	31	60	60	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	285											
31	31	121/2	121/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	286											
31	31	61	61	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	287											
31	31	123/2	123/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	288											
32	32	62	62	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	289											
32	32	125/2	125/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	290											
32	32	63	63	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	291											
32	32	127/2	127/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	292											
32	32	62	62	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	293											
32	32	125/2	125/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	294											
32	32	63	63	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	295											
32	32	127/2	127/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	296											
33	33	64	64	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	297											
33	33	129/2	129/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	298											
33	33	65	65	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	299											
33	33	131/2	131/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	300											
33	33	64	64	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	301											
33	33	129/2	129/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	302											
33	33	65	65	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	303											
33	33	131/2	131/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	304											
34	34	66	66	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	305											
34	34	133/2	133/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	306											
34	34	67	67	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	307											
34	34	135/2	135/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	308											
34	34	66	66	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	309											
34	34	133/2	133/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	310											
34	34	67	67	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	311											
34	34	135/2	135/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	312											
35	35	68	68	0.0		0	0	Dynamic	2/4	1	1	0					pp										
35	35	68	68	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	313											
35	35	137/2	137/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	314											
35	35	69	69	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	315											
35	35	139/2	139/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	316											
35	35	68	68	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	317											
35	35	137/2	137/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	318											
35	35	69	69	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	319											
35	35	139/2	139/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	320											
35	35	68	68	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	321											
35	35	137/2	137/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	322											
35	35	69	69	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	323											
35	35	139/2	139/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	324											
35	35	68	68	0.0		0	0	Dynamic	2/4	4	1	0					pp										
35	35	68	68	0.0		0	0	StaffText	2/4	4	1	0							arco								
35	35	68	68	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	325											
35	35	137/2	137/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	326											
35	35	69	69	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	327											
35	35	139/2	139/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	328											
36	36	70	70	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	329											
36	36	141/2	141/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	330											
36	36	71	71	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	331											
36	36	143/2	143/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	332											
36	36	70	70	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	333											
36	36	141/2	141/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	334											
36	36	71	71	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	335											
36	36	143/2	143/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	336											
36	36	70	70	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	337											
36	36	141/2	141/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	338											
36	36	71	71	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	339											
36	36	143/2	143/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	340											
36	36	70	70	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	341											
36	36	141/2	141/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	342											
36	36	71	71	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	343											
36	36	143/2	143/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	344											
37	37	72	72	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	345											
37	37	145/2	145/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	346											
37	37	73	73	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	347											
37	37	147/2	147/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	348											
37	37	72	72	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	349											
37	37	145/2	145/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	350											
37	37	73	73	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	351											
37	37	147/2	147/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	352											
37	37	72	72	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	353											
37	37	145/2	145/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	354											
37	37	73	73	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	355											
37	37	147/2	147/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	356											
37	37	72	72	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	357											
37	37	145/2	145/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	358											
37	37	73	73	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	359											
37	37	147/2	147/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	360											
38	38	74	74	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	361											
38	38	149/2	149/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	362		articStaccatoAbove									
38	38	299/4	299/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	363		articStaccatoAbove									
38	38	75	75	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	364		articStaccatoAbove									
38	38	301/4	301/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	365		articStaccatoAbove									
38	38	151/2	151/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	366		articStaccatoAbove									
38	38	303/4	303/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	367		articStaccatoAbove									
38	38	74	74	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	368											
38	38	149/2	149/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	369		articStaccatoBelow									
38	38	299/4	299/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	370		articStaccatoBelow									
38	38	75	75	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	371		articStaccatoBelow									
38	38	301/4	301/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	372		articStaccatoBelow									
38	38	151/2	151/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	373		articStaccatoBelow									
38	38	303/4	303/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	374		articStaccatoBelow									
38	38	74	74	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	375											
38	38	149/2	149/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	376		articStaccatoAbove									
38	38	299/4	299/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	377		articStaccatoAbove									
38	38	75	75	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	378		articStaccatoAbove									
38	38	301/4	301/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	379		articStaccatoAbove									
38	38	151/2	151/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	380		articStaccatoAbove									
38	38	303/4	303/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	381		articStaccatoAbove									
38	38	74	74	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	382											
38	38	149/2	149/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	383		articStaccatoAbove									
38	38	299/4	299/4	0.25		3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	384		articStaccatoAbove									
38	38	75	75	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	385		articStaccatoAbove									
38	38	301/4	301/4	0.25		5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	386		articStaccatoAbove									
38	38	151/2	151/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	387		articStaccatoAbove									
38	38	303/4	303/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	388		articStaccatoAbove									
39	39	76	76	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	389											
39	39	153/2	153/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	390											
39	39	77	77	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	391											
39	39	155/2	155/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	392											
39	39	76	76	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	393											
39	39	153/2	153/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	394											
39	39	77	77	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	395											
39	39	155/2	155/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	396											
39	39	76	76	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	397											
39	39	153/2	153/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	398											
39	39	77	77	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	399											
39	39	155/2	155/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	400											
39	39	76	76	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	401											
39	39	153/2	153/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	402											
39	39	77	77	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	403											
39	39	155/2	155/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	404											
40	40	78	78	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	405											
40	40	157/2	157/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	406		articStaccatoAbove									
40	40	315/4	315/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	407		articStaccatoAbove									
40	40	79	79	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	408		articStaccatoAbove									
40	40	317/4	317/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	409		articStaccatoAbove									
40	40	159/2	159/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	410		articStaccatoAbove									
40	40	319/4	319/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	411		articStaccatoAbove									
40	40	78	78	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	412											
40	40	157/2	157/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	413											
40	40	79	79	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	414											
40	40	159/2	159/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	415											
40	40	78	78	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	416											
40	40	157/2	157/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	417											
40	40	79	79	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	418											
40	40	159/2	159/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	419											
40	40	78	78	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	420											
40	40	157/2	157/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	421											
40	40	79	79	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	422											
40	40	159/2	159/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	423											
41	41	80	80	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	424											
41	41	161/2	161/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	425											
41	41	81	81	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	426											
41	41	163/2	163/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	427											
41	41	80	80	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	428											
41	41	161/2	161/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	429		articStaccatoAbove									
41	41	323/4	323/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	430		articStaccatoAbove									
41	41	81	81	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	431		articStaccatoAbove									
41	41	325/4	325/4	0.25		5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	432		articStaccatoAbove									
41	41	163/2	163/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	433		articStaccatoAbove									
41	41	327/4	327/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	434		articStaccatoAbove									
41	41	80	80	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	435											
41	41	161/2	161/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	436											
41	41	81	81	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	437											
41	41	163/2	163/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	438											
41	41	80	80	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	439											
41	41	161/2	161/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	440											
41	41	81	81	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	441											
41	41	163/2	163/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	442											
42	42	82	82	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	443											
42	42	165/2	165/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	444											
42	42	83	83	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	445											
42	42	167/2	167/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	446											
42	42	82	82	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	447											
42	42	165/2	165/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	448											
42	42	83	83	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	449											
42	42	167/2	167/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	450											
42	42	82	82	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	451											
42	42	165/2	165/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	452		articStaccatoBelow									
42	42	331/4	331/4	0.25		3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	453		articStaccatoBelow									
42	42	83	83	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	454		articStaccatoBelow									
42	42	333/4	333/4	0.25		5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	455		articStaccatoBelow									
42	42	167/2	167/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	456		articStaccatoBelow									
42	42	335/4	335/4	0.25		7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	457		articStaccatoBelow									
42	42	82	82	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	458											
42	42	165/2	165/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	459											
42	42	83	83	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	460											
42	42	167/2	167/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	461											
43	43	84	84	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	462											
43	43	169/2	169/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	463											
43	43	85	85	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	464											
43	43	171/2	171/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	465											
43	43	84	84	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	466											
43	43	169/2	169/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	467											
43	43	85	85	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	468											
43	43	171/2	171/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	469											
43	43	84	84	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	470											
43	43	169/2	169/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	471											
43	43	85	85	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	472											
43	43	171/2	171/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	473											
43	43	84	84	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	474											
43	43	169/2	169/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	475		articStaccatoBelow									
43	43	339/4	339/4	0.25		3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	476		articStaccatoBelow									
43	43	85	85	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	477		articStaccatoBelow									
43	43	341/4	341/4	0.25		5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	478		articStaccatoBelow									
43	43	171/2	171/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	479		articStaccatoBelow									
43	43	343/4	343/4	0.25		7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	480		articStaccatoBelow									
44	44	86	86	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	481											
44	44	173/2	173/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	482											
44	44	87	87	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	483											
44	44	175/2	175/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	484											
44	44	86	86	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	485											
44	44	173/2	173/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	486											
44	44	87	87	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	487											
44	44	175/2	175/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	488											
44	44	86	86	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	489											
44	44	173/2	173/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	490											
44	44	87	87	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	491											
44	44	175/2	175/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	492											
44	44	86	86	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	493											
44	44	173/2	173/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	494											
44	44	87	87	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	495											
44	44	175/2	175/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	496											
45	45	88	88	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	497											
45	45	177/2	177/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	498											
45	45	89	89	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	499											
45	45	179/2	179/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	500											
45	45	88	88	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	501											
45	45	177/2	177/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	502											
45	45	89	89	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	503											
45	45	179/2	179/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	504											
45	45	88	88	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	505											
45	45	177/2	177/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	506											
45	45	89	89	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	507											
45	45	179/2	179/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	508											
45	45	88	88	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	509											
45	45	177/2	177/2	0.25		1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	510											
45	45	89	89	0.25		1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	511											
45	45	179/2	179/2	0.25		3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	512											
46	46	90	90	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	513											
46	46	181/2	181/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	514		articStaccatoAbove									
46	46	363/4	363/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	515		articStaccatoAbove									
46	46	91	91	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	516		articStaccatoAbove									
46	46	365/4	365/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	517		articStaccatoAbove									
46	46	183/2	183/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	518		articStaccatoAbove									
46	46	367/4	367/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	519		articStaccatoAbove									
46	46	90	90	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	520											
46	46	90	90	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	521											
46	46	90	90	0.25		0	0	Chord	2/4	4	1	1/16		1/16	1	522											
47	47	92	92	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	523											
47	47	369/4	369/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	524											
47	47	185/2	185/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	525											
47	47	371/4	371/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	526											
47	47	93	93	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	527											
47	47	373/4	373/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	528											
47	47	187/2	187/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	529											
47	47	375/4	375/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	530											
47	47	92	92	0.0		0	0	Dynamic	2/4	2	1	0					pp										
47	47	92	92	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	531											
47	47	185/2	185/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	532											
47	47	93	93	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	533											
47	47	187/2	187/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	534											
47	47	92	92	0.0		0	0	Dynamic	2/4	3	1	0					pp										
47	47	92	92	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	535											
47	47	185/2	185/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	536											
47	47	93	93	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	537											
47	47	187/2	187/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	538											
48	48	94	94	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	539											
48	48	377/4	377/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	540											
48	48	189/2	189/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	541											
48	48	379/4	379/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	542											
48	48	95	95	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	543											
48	48	381/4	381/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	544											
48	48	191/2	191/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	545											
48	48	383/4	383/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	546											
48	48	94	94	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	547											
48	48	189/2	189/2	0.25		1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	548											
48	48	95	95	0.25		1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	549											
48	48	191/2	191/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	550											
48	48	94	94	0.25		0	0	Chord	2/4	3	1	1/16		1/16	1	551											
48	48	189/2	189/2	0.25		1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	552											
48	48	95	95	0.25		1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	553											
48	48	191/2	191/2	0.25		3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	554											
49	49	96	96	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	555											
49	49	385/4	385/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	556											
49	49	193/2	193/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	557											
49	49	387/4	387/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	558											
49	49	97	97	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	559											
