mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
71	71	565/4	565/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1233		articStaccatoBelow								213			
71	71	283/2	283/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1234		articStaccatoBelow								213			
71	71	567/4	567/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1235		articStaccatoBelow											
71	71	140	140	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	1236										214			
71	71	281/2	281/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1237										214			
71	71	141	141	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1238										214			
71	71	283/2	283/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1239													
71	71	140	140	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	1240													
71	71	141	141	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1241													
72	72	142	142	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	1242													
72	72	287/2	287/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1243		articStaccatoAbove								215			
72	72	575/4	575/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1244		articStaccatoAbove								215			
72	72	142	142	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1245													
72	72	569/4	569/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1246													
72	72	285/2	285/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1247													
72	72	571/4	571/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1248													
72	72	143	143	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1249													
72	72	573/4	573/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1250													
72	72	287/2	287/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1251													
72	72	575/4	575/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1252													
72	72	142	142	0.75	0	0	Chord	2/4	3	1	3/16		1/8	3/2	1253										216			
72	72	571/4	571/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	1254													
72	72	143	143	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1255													
72	72	287/2	287/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1256													
72	72	142	142	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	1257													
72	72	143	143	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1258													
73	73	144	144	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	1259		articStaccatoAbove								215			
73	73	577/4	577/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1260		articStaccatoAbove								215			
73	73	289/2	289/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1261		articStaccatoAbove								215			
73	73	579/4	579/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1262		articStaccatoAbove								215			
73	73	145	145	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	1263													
73	73	144	144	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1264													
73	73	577/4	577/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1265													
73	73	289/2	289/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1266													
73	73	579/4	579/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1267													
73	73	145	145	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1268													
73	73	581/4	581/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1269													
73	73	291/2	291/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1270													
73	73	583/4	583/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1271													
73	73	144	144	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	1272													
73	73	581/4	581/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	1273		articStaccatoAbove								217			
73	73	291/2	291/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	1274		articStaccatoAbove								217			
73	73	583/4	583/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	1275		articStaccatoAbove											
73	73	144	144	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	1276													
73	73	145	145	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1277													
74	74	146	146	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	1278										218			
74	74	295/2	295/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1279													
74	74	146	146	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1280													
74	74	585/4	585/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1281													
74	74	293/2	293/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1282													
74	74	587/4	587/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1283													
74	74	147	147	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1284													
74	74	589/4	589/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1285													
74	74	295/2	295/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1286													
74	74	591/4	591/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1287													
74	74	146	146	1.5	0	0	Chord	2/4	3	1	3/8		1/4	3/2	1288										219			
74	74	295/2	295/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	1289										219			
74	74	591/4	591/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	1290													
74	74	585/4	585/4	0.25	1/16	1/16	Chord	2/4	4	1	1/16		1/16	1	1291													
74	74	293/2	293/2	0.25	1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	1292													
74	74	587/4	587/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	1293													
74	74	147	147	0.25	1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	1294													
74	74	589/4	589/4	0.25	5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	1295													
74	74	295/2	295/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	1296													
74	74	591/4	591/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	1297													
75	75	148	148	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1298													
75	75	297/2	297/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1299													
75	75	149	149	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1300										220			
75	75	299/2	299/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1301													
75	75	148	148	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1302													
75	75	593/4	593/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1303													
75	75	297/2	297/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1304													
75	75	595/4	595/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1305													
75	75	149	149	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1306													
75	75	597/4	597/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1307													
75	75	299/2	299/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1308													
75	75	599/4	599/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1309													
75	75	148	148	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	1310													
75	75	297/2	297/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1311													
75	75	149	149	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1312													
75	75	299/2	299/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1313													
75	75	148	148	0.25	0	0	Chord	2/4	4	1	1/16		1/16	1	1314													
75	75	593/4	593/4	0.25	1/16	1/16	Chord	2/4	4	1	1/16		1/16	1	1315													
75	75	297/2	297/2	0.25	1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	1316													
75	75	595/4	595/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	1317													
75	75	149	149	0.25	1/4	1/4	Chord	2/4	4	1	1/16		1/16	1	1318													
75	75	597/4	597/4	0.25	5/16	5/16	Chord	2/4	4	1	1/16		1/16	1	1319													
75	75	299/2	299/2	0.25	3/8	3/8	Chord	2/4	4	1	1/16		1/16	1	1320													
75	75	599/4	599/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	1321													
76	76	150	150	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	1322													
76	76	151	151	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1323													
76	76	605/4	605/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1324		articStaccatoAbove								221			
76	76	303/2	303/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1325		articStaccatoAbove								221			
76	76	607/4	607/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1326		articStaccatoAbove								221			
76	76	150	150	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1327													
76	76	601/4	601/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1328													
76	76	301/2	301/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1329													
76	76	603/4	603/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1330													
76	76	151	151	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1331													
76	76	605/4	605/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1332													
76	76	303/2	303/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1333													
76	76	607/4	607/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1334													
76	76	150	150	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	1335													
76	76	301/2	301/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	1336													
76	76	151	151	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1337													
76	76	303/2	303/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1338										222			
76	76	150	150	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	1339		articStaccatoAbove											
76	76	301/2	301/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	1340		articStaccatoAbove											
76	76	151	151	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1341													
77	77	152	152	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	1342		articStaccatoAbove								221			
77	77	609/4	609/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1343		articStaccatoAbove								221			
77	77	305/2	305/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1344		articStaccatoAbove								221			
77	77	611/4	611/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1345		articStaccatoAbove								221			
77	77	153	153	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	1346													
77	77	152	152	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1347													
77	77	609/4	609/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1348													
77	77	305/2	305/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1349													
77	77	611/4	611/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1350													
77	77	153	153	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1351													
77	77	613/4	613/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1352													
77	77	307/2	307/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1353													
77	77	615/4	615/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1354													
77	77	152	152	0.75	0	0	Chord	2/4	3	1	3/16		1/8	3/2	1355													
77	77	611/4	611/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	1356													
77	77	153	153	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1357													
77	77	152	152	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	1358													
77	77	305/2	305/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	1359													
77	77	153	153	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1360													
78	78	154	154	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	1361		articAccentBelow											
78	78	311/2	311/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1362										223			
78	78	154	154	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1363													
78	78	617/4	617/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1364													
78	78	309/2	309/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1365													
78	78	619/4	619/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1366													
78	78	155	155	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1367													
78	78	621/4	621/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1368													
78	78	311/2	311/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1369													
78	78	623/4	623/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1370													
78	78	154	154	2.0	0	0	Chord	2/4	3	1	1/2		1/2	1	1371													
78	78	154	154	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	1372													
78	78	155	155	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1373													
79	79	156	156	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1374													
79	79	313/2	313/2	0.0	1/8	1/8	Spanner	2/4	1	1	0															7		
79	79	313/2	313/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1375										224	7		
79	79	157	157	0.0	1/4	1/4	Spanner	2/4	1	1	0														224			
79	79	157	157	0.0	1/4	1/4	Spanner	2/4	1	1	0														224		18	
79	79	157	157	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1376										224		18	
79	79	315/2	315/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																	
79	79	315/2	315/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1377													
79	79	156	156	0.0	0	0	Spanner	2/4	2	1	0															8		
79	79	156	156	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1378											8		
79	79	625/4	625/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1379											8		
79	79	313/2	313/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1380											8		
79	79	627/4	627/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1381											8		
79	79	157	157	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
79	79	157	157	0.0	1/4	1/4	Spanner	2/4	2	1	0																19	
79	79	157	157	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1382												19	
79	79	629/4	629/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1383												19	
79	79	315/2	315/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1384												19	
79	79	631/4	631/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1385												19	
79	79	156	156	0.0	0	0	Spanner	2/4	3	1	0															9		
79	79	156	156	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	1386		ornamentTrill								225	9		
79	79	157	157	0.0	1/4	1/4	Spanner	2/4	3	1	0																	
79	79	157	157	0.0	1/4	1/4	Spanner	2/4	3	1	0																20	
79	79	157	157	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1387												20	
79	79	315/2	315/2	0.0	3/8	3/8	Spanner	2/4	3	1	0																	
79	79	156	156	0.0	0	0	Spanner	2/4	4	1	0															10		
79	79	156	156	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	1388											10		
79	79	157	157	0.0	1/4	1/4	Spanner	2/4	4	1	0																	
79	79	157	157	0.0	1/4	1/4	Spanner	2/4	4	1	0																21	
79	79	157	157	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1389												21	
79	79	315/2	315/2	0.0	3/8	3/8	Spanner	2/4	4	1	0																	
80	80	158	158	0.0	0	0	StaffText	2/4	1	1	0							cresc.										
80	80	158	158	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	1390													
80	80	319/2	319/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1391										226			
80	80	158	158	0.0	0	0	Spanner	2/4	2	1	0																	
80	80	158	158	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1392													
80	80	633/4	633/4	0.0	1/16	1/16	StaffText	2/4	2	1	0							cresc.										
80	80	633/4	633/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1393													
80	80	317/2	317/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1394													
80	80	635/4	635/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1395													
80	80	159	159	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1396													
80	80	637/4	637/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1397													
80	80	319/2	319/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1398													
80	80	639/4	639/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1399													
80	80	158	158	0.0	0	0	StaffText	2/4	3	1	0							cresc.										
80	80	158	158	2.0	0	0	Chord	2/4	3	1	1/2		1/2	1	1400													
80	80	158	158	0.0	0	0	StaffText	2/4	4	1	0							cresc.										
80	80	158	158	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	1401													
80	80	317/2	317/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	1402													
80	80	159	159	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1403													
81	81	160	160	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1404													
81	81	321/2	321/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	1405													
81	81	161	161	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1406													
81	81	647/4	647/4	0.0	7/16	7/16	Dynamic	2/4	1	1	0					p												
81	81	647/4	647/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1407										227			
81	81	160	160	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1408													
81	81	641/4	641/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1409													
81	81	321/2	321/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1410													
81	81	643/4	643/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1411													
81	81	161	161	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1412													
81	81	645/4	645/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1413													
81	81	323/2	323/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1414													
81	81	647/4	647/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1415													
81	81	160	160	1.0	0	0	Chord	2/4	3	1	1/4		1/4	1	1416		ornamentTrill								228			
81	81	161	161	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1417													
81	81	160	160	0.5	0	0	Chord	2/4	4	1	1/8		1/8	1	1418													
81	81	321/2	321/2	0.5	1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	1419													
81	81	161	161	0.5	1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	1420													
82	82	162	162	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	1421													
82	82	649/4	649/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1422													
82	82	325/2	325/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1423													
82	82	651/4	651/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1424													
82	82	163	163	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1425													
82	82	655/4	655/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1426										229			
82	82	162	162	0.0	0	0	Dynamic	2/4	2	1	0					p												
82	82	162	162	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1427													
82	82	649/4	649/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1428													
82	82	325/2	325/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1429													
82	82	651/4	651/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1430													
82	82	163	163	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1431													
82	82	653/4	653/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1432													
82	82	327/2	327/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1433													
82	82	655/4	655/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1434													
82	82	649/4	649/4	0.0	1/16	1/16	Dynamic	2/4	3	1	0					p												
82	82	649/4	649/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	1435		articStaccatoAbove								230			
82	82	325/2	325/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	1436		articStaccatoAbove								230			
82	82	651/4	651/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	1437		articStaccatoAbove											
82	82	653/4	653/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	1438		articStaccatoAbove								231			
82	82	327/2	327/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	1439		articStaccatoAbove								231			
82	82	655/4	655/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	1440		articStaccatoAbove											
83	83	164	164	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	1441													
83	83	657/4	657/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1442													
83	83	329/2	329/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1443													
83	83	659/4	659/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1444													
83	83	165	165	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	1445													
83	83	663/4	663/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1446										232			
83	83	164	164	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	1447													
83	83	657/4	657/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	1448													
83	83	329/2	329/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	1449													
83	83	659/4	659/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1450													
83	83	165	165	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	1451													
83	83	661/4	661/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	1452													
83	83	331/2	331/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	1453													
83	83	663/4	663/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1454													
83	83	657/4	657/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	1455		articStaccatoAbove								233			
83	83	329/2	329/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	1456		articStaccatoAbove								233			
83	83	659/4	659/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	1457		articStaccatoAbove											
83	83	661/4	661/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	1458		articStaccatoAbove								234			
83	83	331/2	331/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	1459		articStaccatoAbove								234			
83	83	663/4	663/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	1460		articStaccatoAbove											
83	83	663/4	663/4	0.0	7/16	7/16	StaffText	2/4	4	1	0							arco										
83	83	663/4	663/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	1461										235			
84	84	166	166	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	1462													
84	84	665/4	665/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1463													
84	84	333/2	333/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1464													
84	84	667/4	667/4	0.0	3/16	3/16	StaffText	2/4	1	1	0							cresc.										
84	84	667/4	667/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1465													
84	84	167	167	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	1466													
84	84	669/4	669/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	1467													
84	84	335/2	335/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1468													
84	84	671/4	671/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1469										236			
84	84	166	166	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	1470													
84	84	667/4	667/4	0.0	3/16	3/16	StaffText	2/4	2	1	0							cresc.										
84	84	667/4	667/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	1471													
84	84	167	167	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	1472													
84	84	671/4	671/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	1473													
84	84	166	166	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	1474													
84	84	667/4	667/4	0.0	3/16	3/16	StaffText	2/4	3	1	0							cresc.										
84	84	667/4	667/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	1475													
84	84	167	167	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	1476													
84	84	335/2	335/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	1477													
84	84	166	166	0.25	0	0	Chord	2/4	4	1	1/16		1/16	1	1478													
84	84	665/4	665/4	0.25	1/16	1/16	Chord	2/4	4	1	1/16		1/16	1	1479		articStaccatoAbove											
84	84	333/2	333/2	0.25	1/8	1/8	Chord	2/4	4	1	1/16		1/16	1	1480		articStaccatoAbove											
84	84	667/4	667/4	0.0	3/16	3/16	StaffText	2/4	4	1	0							cresc.										
84	84	667/4	667/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16		1/16	1	1481		articStaccatoAbove											
84	84	167	167	0.75	1/4	1/4	Chord	2/4	4	1	3/16		1/8	3/2	1482													
84	84	671/4	671/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16		1/16	1	1483										237			
85	85	168	168	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	1484													
85	85	673/4	673/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	1485													
85	85	337/2	337/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	1486													
85	85	675/4	675/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1487										238			
