mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Trill:trill
12	11	61/2	61/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	188		articStaccatoBelow												
12	11	31	31	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	189		articStaccatoBelow												
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	190		articStaccatoBelow												
12	11	32	32	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	191		articStaccatoBelow												
12	11	65/2	65/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	192		articStaccatoBelow												
12	11	33	33	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	193		articStaccatoBelow												
13	12	67/2	67/2	1.5	0	0	Chord	6/8	1	1	3/8			1/4	3/2	194														
13	12	35	35	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	195														
13	12	36	36	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	196		articStaccatoBelow												
13	12	67/2	67/2	1.5	0	0	Chord	6/8	2	1	3/8			1/4	3/2	197														
13	12	35	35	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	198														
13	12	36	36	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	199		articStaccatoBelow												
13	12	67/2	67/2	1.5	0	0	Chord	6/8	3	1	3/8			1/4	3/2	200														
13	12	35	35	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	201														
13	12	36	36	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	202		articStaccatoAbove												
13	12	67/2	67/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	203		articStaccatoAbove												
13	12	34	34	0.5	1/8	1/8	Chord	6/8	4	1	1/8			1/8	1	204		articStaccatoAbove												
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	4	1	1/8			1/8	1	205		articStaccatoAbove												
13	12	35	35	0.5	3/8	3/8	Chord	6/8	4	1	1/8			1/8	1	206		articStaccatoBelow												
13	12	71/2	71/2	0.5	1/2	1/2	Chord	6/8	4	1	1/8			1/8	1	207		articStaccatoBelow												
13	12	36	36	0.5	5/8	5/8	Chord	6/8	4	1	1/8			1/8	1	208		articStaccatoBelow												
14	13	73/2	73/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	209		articStaccatoBelow												
14	13	37	37	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	210		articStaccatoBelow												
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	211		articStaccatoBelow												
14	13	38	38	0.5	3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	212		articStaccatoBelow												
14	13	77/2	77/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	213		articStaccatoBelow												
14	13	39	39	0.5	5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	214		articStaccatoBelow												
14	13	73/2	73/2	0.5	0	0	Chord	6/8	2	1	1/8			1/8	1	215		articStaccatoBelow												
14	13	37	37	0.5	1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	216		articStaccatoBelow												
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	217		articStaccatoBelow												
14	13	38	38	0.5	3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	218		articStaccatoBelow												
14	13	77/2	77/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	219		articStaccatoBelow												
14	13	39	39	0.5	5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	220		articStaccatoBelow												
14	13	73/2	73/2	0.5	0	0	Chord	6/8	3	1	1/8			1/8	1	221		articStaccatoAbove												
14	13	37	37	0.5	1/8	1/8	Chord	6/8	3	1	1/8			1/8	1	222		articStaccatoAbove												
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8			1/8	1	223		articStaccatoAbove												
14	13	38	38	0.5	3/8	3/8	Chord	6/8	3	1	1/8			1/8	1	224		articStaccatoBelow												
14	13	77/2	77/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8			1/8	1	225		articStaccatoBelow												
14	13	39	39	0.5	5/8	5/8	Chord	6/8	3	1	1/8			1/8	1	226		articStaccatoBelow												
14	13	73/2	73/2	0.5	0	0	Chord	6/8	4	1	1/8			1/8	1	227														
15	14	79/2	79/2	0.0	0	0	Spanner	6/8	1	1	0																3			
15	14	79/2	79/2	0.5	0	0	Chord	6/8	1	1	1/8			1/8	1	228		articStaccatoBelow									3			
15	14	40	40	0.5	1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	229		articStaccatoBelow									3			
