mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	crescendo_line	decrescendo_hairpin
39	38	76	76	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	574									112				
39	38	305/4	305/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	575													
39	38	149/2	149/2	0.0	0	0	Spanner	2/4	4	1	0																		
39	38	149/2	149/2	0.0	0	0	Spanner	2/4	4	1	0																		13
39	38	149/2	149/2	0.25	0	0	Chord	2/4	4	1	1/16			1/16	1	576									113				13
39	38	299/4	299/4	0.25	1/16	1/16	Chord	2/4	4	1	1/16			1/16	1	577									113				13
39	38	75	75	0.25	1/8	1/8	Chord	2/4	4	1	1/16			1/16	1	578									113				13
39	38	301/4	301/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16			1/16	1	579													13
39	38	151/2	151/2	0.0	1/4	1/4	Spanner	2/4	4	1	0																		
39	38	151/2	151/2	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	580		articStaccatoBelow							114				
39	38	76	76	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	581		articStaccatoBelow											
40	39	153/2	153/2	0.0	0	0	Dynamic	2/4	1	1	0						p												
40	39	153/2	153/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	582									115				
40	39	307/4	307/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	583													
40	39	77	77	0.375	1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	584													
40	39	619/8	619/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	585													
40	39	155/2	155/2	0.375	1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	586													
40	39	623/8	623/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	587													
40	39	78	78	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	588													
40	39	627/8	627/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	589													
40	39	153/2	153/2	0.0	0	0	Dynamic	2/4	2	1	0						p												
40	39	153/2	153/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	590													
40	39	77	77	0.375	1/8	1/8	Chord	2/4	2	1	3/32			1/16	3/2	591													
40	39	619/8	619/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	592													
40	39	155/2	155/2	0.375	1/4	1/4	Chord	2/4	2	1	3/32			1/16	3/2	593													
40	39	623/8	623/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	594													
40	39	78	78	0.375	3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	595													
40	39	627/8	627/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	596													
40	39	153/2	153/2	0.0	0	0	Dynamic	2/4	3	1	0						p												
40	39	153/2	153/2	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	597									116				
40	39	153/2	153/2	0.0	0	0	Dynamic	2/4	4	1	0						p												
40	39	153/2	153/2	2.0	0	0	Chord	2/4	4	1	1/2			1/2	1	598													
41	40	157/2	157/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	599									117				
41	40	315/4	315/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	600													
41	40	79	79	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	601													
41	40	159/2	159/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	602													
41	40	319/4	319/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	603									118				
41	40	80	80	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	604									118				
41	40	321/4	321/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	605													
41	40	157/2	157/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	606													
41	40	79	79	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	607													
41	40	159/2	159/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	608													
41	40	319/4	319/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	609		articStaccatoBelow							119				
41	40	80	80	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	610		articStaccatoBelow							119				
41	40	321/4	321/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	611		articStaccatoBelow											
41	40	157/2	157/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	612													
41	40	79	79	0.375	1/8	1/8	Chord	2/4	3	1	3/32			1/16	3/2	613													
41	40	635/8	635/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32			1/32	1	614													
41	40	159/2	159/2	0.375	1/4	1/4	Chord	2/4	3	1	3/32			1/16	3/2	615													
41	40	639/8	639/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32			1/32	1	616													
41	40	80	80	0.375	3/8	3/8	Chord	2/4	3	1	3/32			1/16	3/2	617													
41	40	643/8	643/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	618													
41	40	157/2	157/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	619													
41	40	79	79	0.375	1/8	1/8	Chord	2/4	4	1	3/32			1/16	3/2	620													
41	40	635/8	635/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	621													
41	40	159/2	159/2	0.375	1/4	1/4	Chord	2/4	4	1	3/32			1/16	3/2	622													
41	40	639/8	639/8	0.125	11/32	11/32	Chord	2/4	4	1	1/32			1/32	1	623													
41	40	80	80	0.375	3/8	3/8	Chord	2/4	4	1	3/32			1/16	3/2	624													
41	40	643/8	643/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32			1/32	1	625													
42	41	161/2	161/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	626									120				
42	41	323/4	323/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	627													
42	41	81	81	0.375	1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	628													
42	41	651/8	651/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	629													
42	41	163/2	163/2	0.375	1/4	1/4	Chord	2/4	1	1	3/32			1/16	3/2	630													
42	41	655/8	655/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	631													
42	41	82	82	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	632													
42	41	659/8	659/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	633													
42	41	161/2	161/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	634													
42	41	81	81	0.375	1/8	1/8	Chord	2/4	2	1	3/32			1/16	3/2	635													
42	41	651/8	651/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	636													
42	41	163/2	163/2	0.375	1/4	1/4	Chord	2/4	2	1	3/32			1/16	3/2	637													
42	41	655/8	655/8	0.125	11/32	11/32	Chord	2/4	2	1	1/32			1/32	1	638													
42	41	82	82	0.375	3/8	3/8	Chord	2/4	2	1	3/32			1/16	3/2	639													
42	41	659/8	659/8	0.125	15/32	15/32	Chord	2/4	2	1	1/32			1/32	1	640													
42	41	161/2	161/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	641													
42	41	81	81	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	642													
42	41	163/2	163/2	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	643													
42	41	327/4	327/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	644									121				
42	41	82	82	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	645									121				
42	41	329/4	329/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	646													
42	41	161/2	161/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	647													
42	41	81	81	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	648													
42	41	163/2	163/2	0.25	1/4	1/4	Chord	2/4	4	1	1/16			1/16	1	649													
42	41	327/4	327/4	0.25	5/16	5/16	Chord	2/4	4	1	1/16			1/16	1	650									122				
42	41	82	82	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	651									122				
42	41	329/4	329/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	652													
43	42	165/2	165/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	653									123				
43	42	331/4	331/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	654													
43	42	83	83	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	655													
43	42	167/2	167/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	656													
43	42	335/4	335/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	657									124				
43	42	84	84	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	658									124				
43	42	337/4	337/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	659													
43	42	165/2	165/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	660													
43	42	83	83	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	661													
43	42	167/2	167/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	662													
43	42	335/4	335/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	663		articStaccatoBelow							125				
43	42	84	84	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	664		articStaccatoBelow							125				
43	42	337/4	337/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	665		articStaccatoBelow											
43	42	165/2	165/2	0.25	0	0	Chord	2/4	3	1	1/16			1/16	1	666									126				
43	42	331/4	331/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16			1/16	1	667													
43	42	83	83	0.375	1/8	1/8	Chord	2/4	3	1	3/32			1/16	3/2	668													
43	42	667/8	667/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32			1/32	1	669													
43	42	167/2	167/2	0.375	1/4	1/4	Chord	2/4	3	1	3/32			1/16	3/2	670													
43	42	671/8	671/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32			1/32	1	671													
43	42	84	84	0.375	3/8	3/8	Chord	2/4	3	1	3/32			1/16	3/2	672													
43	42	675/8	675/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	673													
43	42	165/2	165/2	0.25	0	0	Chord	2/4	4	1	1/16			1/16	1	674									127				
43	42	331/4	331/4	0.25	1/16	1/16	Chord	2/4	4	1	1/16			1/16	1	675													
43	42	83	83	0.375	1/8	1/8	Chord	2/4	4	1	3/32			1/16	3/2	676													
43	42	667/8	667/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	677													
43	42	167/2	167/2	0.375	1/4	1/4	Chord	2/4	4	1	3/32			1/16	3/2	678													
43	42	671/8	671/8	0.125	11/32	11/32	Chord	2/4	4	1	1/32			1/32	1	679													
43	42	84	84	0.375	3/8	3/8	Chord	2/4	4	1	3/32			1/16	3/2	680													
43	42	675/8	675/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32			1/32	1	681													
44	43	169/2	169/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	682													
44	43	339/4	339/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	683									128				
44	43	85	85	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	684									128				
44	43	341/4	341/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	685													
44	43	171/2	171/2	0.0	1/4	1/4	Spanner	2/4	1	1	0																8		
44	43	171/2	171/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	686											8		
44	43	169/2	169/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	687													
44	43	343/4	343/4	0.0	5/16	5/16	Spanner	2/4	2	1	0																9		
44	43	343/4	343/4	0.0	5/16	5/16	Spanner	2/4	2	1	0																9		14
44	43	343/4	343/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	688									129		9		14
44	43	86	86	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	689									129		9		14
44	43	345/4	345/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	690											9		14
44	43	169/2	169/2	1.0	0	0	Chord	2/4	3	1	1/4			1/4	1	691													
44	43	171/2	171/2	0.0	1/4	1/4	Spanner	2/4	3	1	0																10		
44	43	171/2	171/2	0.375	1/4	1/4	Chord	2/4	3	1	3/32			1/16	3/2	692											10		
44	43	687/8	687/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32			1/32	1	693											10		
44	43	86	86	0.375	3/8	3/8	Chord	2/4	3	1	3/32			1/16	3/2	694											10		
44	43	691/8	691/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	695											10		
44	43	169/2	169/2	0.375	0	0	Chord	2/4	4	1	3/32			1/16	3/2	696													
44	43	679/8	679/8	0.125	3/32	3/32	Chord	2/4	4	1	1/32			1/32	1	697													
44	43	85	85	0.375	1/8	1/8	Chord	2/4	4	1	3/32			1/16	3/2	698													
44	43	683/8	683/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	699													
44	43	171/2	171/2	0.0	1/4	1/4	Spanner	2/4	4	1	0																11		
44	43	171/2	171/2	0.375	1/4	1/4	Chord	2/4	4	1	3/32			1/16	3/2	700											11		
44	43	687/8	687/8	0.125	11/32	11/32	Chord	2/4	4	1	1/32			1/32	1	701											11		
44	43	86	86	0.375	3/8	3/8	Chord	2/4	4	1	3/32			1/16	3/2	702											11		
44	43	691/8	691/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32			1/32	1	703											11		
45	44	347/4	347/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	704									130		8		
45	44	87	87	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	705									130		8		
45	44	349/4	349/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	706											8		
45	44	175/2	175/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	707											8		
45	44	173/2	173/2	0.0	0	0	Spanner	2/4	2	1	0																		
45	44	173/2	173/2	0.0	0	0	Spanner	2/4	2	1	0																		
45	44	173/2	173/2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	708													
45	44	351/4	351/4	0.0	5/16	5/16	Spanner	2/4	2	1	0																		15
45	44	351/4	351/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	709									131				15
45	44	88	88	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	710									131				15
45	44	353/4	353/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	711													15
45	44	173/2	173/2	0.0	0	0	Spanner	2/4	3	1	0																		
45	44	173/2	173/2	0.375	0	0	Chord	2/4	3	1	3/32			1/16	3/2	712													
45	44	695/8	695/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32			1/32	1	713													
45	44	87	87	0.375	1/8	1/8	Chord	2/4	3	1	3/32			1/16	3/2	714													
45	44	699/8	699/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32			1/32	1	715													
45	44	175/2	175/2	0.375	1/4	1/4	Chord	2/4	3	1	3/32			1/16	3/2	716													
45	44	703/8	703/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32			1/32	1	717													
45	44	88	88	0.375	3/8	3/8	Chord	2/4	3	1	3/32			1/16	3/2	718													
45	44	707/8	707/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	719													
45	44	173/2	173/2	0.0	0	0	Spanner	2/4	4	1	0																		
45	44	173/2	173/2	0.375	0	0	Chord	2/4	4	1	3/32			1/16	3/2	720													
45	44	695/8	695/8	0.125	3/32	3/32	Chord	2/4	4	1	1/32			1/32	1	721													
45	44	87	87	0.375	1/8	1/8	Chord	2/4	4	1	3/32			1/16	3/2	722													
45	44	699/8	699/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	723													
45	44	175/2	175/2	0.375	1/4	1/4	Chord	2/4	4	1	3/32			1/16	3/2	724													
45	44	703/8	703/8	0.125	11/32	11/32	Chord	2/4	4	1	1/32			1/32	1	725													
45	44	88	88	0.375	3/8	3/8	Chord	2/4	4	1	3/32			1/16	3/2	726													
45	44	707/8	707/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32			1/32	1	727													
46	45	177/2	177/2	0.0	0	0	Spanner	2/4	1	1	0																		
46	45	177/2	177/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	728													
46	45	355/4	355/4	0.0	1/16	1/16	Spanner	2/4	1	1	0																	28	
46	45	355/4	355/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	729									132			28	
46	45	89	89	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	730												28	
46	45	179/2	179/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	731												28	
46	45	359/4	359/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	732									133			28	
46	45	90	90	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	733												28	
46	45	177/2	177/2	0.0	0	0	Spanner	2/4	2	1	0																		
46	45	177/2	177/2	0.75	0	0	Chord	2/4	2	1	3/16			1/8	3/2	734													
46	45	357/4	357/4	0.0	3/16	3/16	Spanner	2/4	2	1	0																	29	
46	45	357/4	357/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	735									134			29	
46	45	179/2	179/2	0.75	1/4	1/4	Chord	2/4	2	1	3/16			1/8	3/2	736												29	
46	45	361/4	361/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	737									135			29	
46	45	177/2	177/2	0.375	0	0	Chord	2/4	3	1	3/32			1/16	3/2	738													
46	45	711/8	711/8	0.0	3/32	3/32	Spanner	2/4	3	1	0																	30	
46	45	711/8	711/8	0.125	3/32	3/32	Chord	2/4	3	1	1/32			1/32	1	739												30	
46	45	89	89	0.375	1/8	1/8	Chord	2/4	3	1	3/32			1/16	3/2	740												30	
46	45	715/8	715/8	0.125	7/32	7/32	Chord	2/4	3	1	1/32			1/32	1	741												30	
46	45	179/2	179/2	0.375	1/4	1/4	Chord	2/4	3	1	3/32			1/16	3/2	742												30	
46	45	719/8	719/8	0.125	11/32	11/32	Chord	2/4	3	1	1/32			1/32	1	743												30	
46	45	90	90	0.375	3/8	3/8	Chord	2/4	3	1	3/32			1/16	3/2	744												30	
46	45	723/8	723/8	0.125	15/32	15/32	Chord	2/4	3	1	1/32			1/32	1	745												30	
46	45	177/2	177/2	0.375	0	0	Chord	2/4	4	1	3/32			1/16	3/2	746													
46	45	711/8	711/8	0.0	3/32	3/32	Spanner	2/4	4	1	0																	31	
46	45	711/8	711/8	0.125	3/32	3/32	Chord	2/4	4	1	1/32			1/32	1	747												31	
46	45	89	89	0.375	1/8	1/8	Chord	2/4	4	1	3/32			1/16	3/2	748												31	
46	45	715/8	715/8	0.125	7/32	7/32	Chord	2/4	4	1	1/32			1/32	1	749												31	
46	45	179/2	179/2	0.375	1/4	1/4	Chord	2/4	4	1	3/32			1/16	3/2	750												31	
46	45	719/8	719/8	0.125	11/32	11/32	Chord	2/4	4	1	1/32			1/32	1	751												31	
46	45	90	90	0.375	3/8	3/8	Chord	2/4	4	1	3/32			1/16	3/2	752												31	
46	45	723/8	723/8	0.125	15/32	15/32	Chord	2/4	4	1	1/32			1/32	1	753												31	
47	46	181/2	181/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	754												28	
47	46	363/4	363/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	755									136			28	
47	46	91	91	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	756												28	
47	46	183/2	183/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	757												28	
47	46	367/4	367/4	0.0	5/16	5/16	Dynamic	2/4	1	1	0						f												
47	46	367/4	367/4	0.0	5/16	5/16	Spanner	2/4	1	1	0																		
47	46	367/4	367/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	758									137				
47	46	92	92	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	759									137				
47	46	369/4	369/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	760													
47	46	181/2	181/2	0.75	0	0	Chord	2/4	2	1	3/16			1/8	3/2	761												29	
47	46	365/4	365/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	762												29	
47	46	183/2	183/2	0.0	1/4	1/4	Dynamic	2/4	2	1	0						f												
47	46	183/2	183/2	0.0	1/4	1/4	Spanner	2/4	2	1	0																		
47	46	183/2	183/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	763									138				
47	46	367/4	367/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	764									138				
47	46	92	92	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	765									138				
47	46	369/4	369/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	766													
47	46	181/2	181/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	767												30	
47	46	91	91	0.0	1/8	1/8	Dynamic	2/4	3	1	0						f												
47	46	91	91	0.0	1/8	1/8	Spanner	2/4	3	1	0																		
47	46	91	91	0.5	1/8	1/8	Chord	2/4	3	1	1/8			1/8	1	768													
47	46	183/2	183/2	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	769													
47	46	367/4	367/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	770													
47	46	92	92	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	771													
47	46	369/4	369/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	772													
47	46	181/2	181/2	0.75	0	0	Chord	2/4	4	1	3/16			1/8	3/2	773												31	
47	46	365/4	365/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16			1/16	1	774												31	
47	46	183/2	183/2	0.0	1/4	1/4	Dynamic	2/4	4	1	0						f												
47	46	183/2	183/2	0.0	1/4	1/4	Spanner	2/4	4	1	0																		
47	46	183/2	183/2	0.25	1/4	1/4	Chord	2/4	4	1	1/16			1/16	1	775									139				
47	46	367/4	367/4	0.25	5/16	5/16	Chord	2/4	4	1	1/16			1/16	1	776									139				
47	46	92	92	0.25	3/8	3/8	Chord	2/4	4	1	1/16			1/16	1	777									139				
47	46	369/4	369/4	0.25	7/16	7/16	Chord	2/4	4	1	1/16			1/16	1	778													
48	47	185/2	185/2	0.0	0	0	Spanner	2/4	1	1	0																12		
48	47	185/2	185/2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	779											12		
48	47	371/4	371/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	780									140		12		
48	47	93	93	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	781									140		12		
48	47	373/4	373/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	782											12		
48	47	375/4	375/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	783									141		12		
48	47	94	94	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	784									141		12		
48	47	377/4	377/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	785											12		
48	47	185/2	185/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	786													
48	47	187/2	187/2	0.0	1/4	1/4	Spanner	2/4	2	1	0																13		
48	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	787											13		
48	47	185/2	185/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	788													
48	47	187/2	187/2	0.0	1/4	1/4	Spanner	2/4	3	1	0																14		
48	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8			1/8	1	789											14		
48	47	185/2	185/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	790													
48	47	187/2	187/2	0.0	1/4	1/4	Spanner	2/4	4	1	0																15		
48	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	791											15		
49	48	379/4	379/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	792									142		12		
49	48	95	95	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	793									142		12		
49	48	381/4	381/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	794											12		
49	48	383/4	383/4	0.0	5/16	5/16	Dynamic	2/4	1	1	0						p												
49	48	383/4	383/4	0.0	5/16	5/16	Spanner	2/4	1	1	0																		
49	48	383/4	383/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	795													
49	48	385/4	385/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	796													
49	48	189/2	189/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	797											13		
49	48	191/2	191/2	0.0	1/4	1/4	Dynamic	2/4	2	1	0						p												
49	48	191/2	191/2	0.0	1/4	1/4	Spanner	2/4	2	1	0																		
49	48	191/2	191/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	798													
49	48	383/4	383/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	799													
49	48	385/4	385/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	800													
49	48	189/2	189/2	0.5	0	0	Chord	2/4	3	1	1/8			1/8	1	801											14		
49	48	191/2	191/2	0.0	1/4	1/4	Dynamic	2/4	3	1	0						p												
49	48	191/2	191/2	0.0	1/4	1/4	Spanner	2/4	3	1	0																		
49	48	191/2	191/2	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	802													
49	48	383/4	383/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	803													
49	48	385/4	385/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	804													
49	48	189/2	189/2	0.0	0	0	Spanner	2/4	4	1	0																		
49	48	96	96	0.0	3/8	3/8	Dynamic	2/4	4	1	0						p												
49	48	96	96	0.5	3/8	3/8	Chord	2/4	4	1	1/8			1/8	1	805									143				
50	49	387/4	387/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	806													
50	49	98	98	0.375	3/8	3/8	Chord	2/4	1	1	3/32			1/16	3/2	807									144				
50	49	787/8	787/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	808													
50	49	387/4	387/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	809													
50	49	389/4	389/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	810													
50	49	391/4	391/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	811													
50	49	393/4	393/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	812													
50	49	387/4	387/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16			1/16	1	813													
50	49	389/4	389/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16			1/16	1	814													
50	49	391/4	391/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	815													
50	49	393/4	393/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	816													
50	49	193/2	193/2	0.5	0	0	Chord	2/4	4	1	1/8			1/8	1	817									143				
50	49	97	97	0.5	1/8	1/8	Chord	2/4	4	1	1/8			1/8	1	818									143				
50	49	195/2	195/2	0.5	1/4	1/4	Chord	2/4	4	1	1/8			1/8	1	819									143				
