mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	decrescendo_hairpin	crescendo_line
103	103	307	307	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1312														
104	104	309	309	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1313										160				
104	104	310	310	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1314										160				
104	104	311	311	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1315														
105	105	312	312	0.0	0	0	Dynamic	3/4	1	1	0					pp													
105	105	312	312	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1316										161				
106	106	315	315	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1317														
106	106	315	315	0.0	0	0	Dynamic	3/4	2	1	0					pp													
106	106	315	315	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1318										162				
106	106	315	315	0.0	0	0	Dynamic	3/4	3	1	0					pp													
106	106	315	315	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	1319										163				
106	106	315	315	0.0	0	0	Dynamic	3/4	4	1	0					pp													
106	106	315	315	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	1320										164				
107	107	318	318	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1321										165				
107	107	319	319	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1322										165				
107	107	320	320	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1323										165				
107	107	318	318	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1324														
107	107	318	318	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	1325										163				
107	107	318	318	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	1326										164				
108	108	321	321	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1327										165				
108	108	322	322	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1328										165				
108	108	323	323	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1329														
108	108	321	321	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1330														
108	108	321	321	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	1331														
108	108	321	321	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	1332														
109	109	324	324	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1333		articStaccatoBelow												
109	109	325	325	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1334		articStaccatoBelow												
109	109	326	326	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1335														
109	109	324	324	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1336										166				
109	109	324	324	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	1337										167				
109	109	324	324	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	1338										168				
110	110	327	327	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	1339														
110	110	328	328	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1340		articStaccatoBelow												
110	110	329	329	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	1341		articStaccatoBelow												
110	110	327	327	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1342														
110	110	327	327	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	1343										167				
110	110	329	329	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1344														
110	110	327	327	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	1345														
111	111	330	330	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1346										169				
111	111	663/2	663/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1347														
111	111	332	332	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1348														
111	111	665/2	665/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1349														
111	111	330	330	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	1350										170				
111	111	331	331	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1351										170				
111	111	332	332	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1352														
111	111	330	330	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	1353														
112	112	333	333	0.0	0	0	StaffText	3/4	1	1	0							cresc.							169				
112	112	333	333	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1354										169				
112	112	333	333	0.0	0	0	StaffText	3/4	2	1	0							cresc.											
112	112	333	333	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	1355										171				
112	112	669/2	669/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1356														
112	112	335	335	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1357														
112	112	671/2	671/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1358														
112	112	334	334	0.0	1/4	1/4	StaffText	3/4	3	1	0							cresc.											
112	112	334	334	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1359										172				
112	112	335	335	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1360														
112	112	333	333	0.0	0	0	StaffText	3/4	4	1	0							cresc.											
112	112	333	333	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	1361														
113	113	336	336	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	1362										169				
113	113	336	336	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1363										173				
113	113	673/2	673/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1364														
113	113	337	337	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1365														
113	113	675/2	675/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	1366														
113	113	338	338	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	1367														
113	113	677/2	677/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	1368														
113	113	337	337	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1369										174				
113	113	338	338	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1370														
113	113	336	336	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	1371														
114	114	339	339	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	1372														
114	114	339	339	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1373														
114	114	340	340	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1374														
114	114	341	341	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1375														
114	114	340	340	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	1376														
114	114	681/2	681/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	1377														
114	114	341	341	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1378														
114	114	683/2	683/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	1379														
114	114	339	339	1.5	0	0	Chord	3/4	4	1	3/8		1/4	3/2	1380														
114	114	681/2	681/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	1381														
114	114	341	341	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1382														
114	114	683/2	683/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1383														
115	115	342	342	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1384										175				
115	115	342	342	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	1385														
115	115	687/2	687/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	1386														
115	115	344	344	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1387														
115	115	689/2	689/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	1388														
115	115	342	342	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1389														
115	115	344	344	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	1390														
116	116	345	345	0.0	0	0	StaffText	3/4	2	1	0							cresc.							175				
116	116	345	345	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1391										175				
116	116	345	345	0.0	0	0	StaffText	3/4	3	1	0							cresc.											
116	116	345	345	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	1392		articAccentAbove								176				
116	116	693/2	693/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	1393														
116	116	347	347	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1394														
116	116	695/2	695/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	1395														
116	116	345	345	0.0	0	0	StaffText	3/4	4	1	0							cresc.											
116	116	345	345	2.0	0	0	Chord	3/4	4	1	1/2		1/2	1	1396														
116	116	347	347	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	1397														
117	117	348	348	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	1398										175				
117	117	348	348	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	1399										177				
117	117	697/2	697/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	1400														
117	117	349	349	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	1401														
117	117	699/2	699/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	1402														
117	117	350	350	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	1403														
117	117	701/2	701/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	1404														
117	117	348	348	1.5	0	0	Chord	3/4	4	1	3/8		1/4	3/2	1405														
117	117	699/2	699/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	1406														
117	117	350	350	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1407														
117	117	701/2	701/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1408														
118	118	705/2	705/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0					p													
118	118	705/2	705/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1409														
118	118	353	353	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1410														
118	118	707/2	707/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1411														
118	118	351	351	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	1412														
118	118	353	353	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1413														
118	118	351	351	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	1414														
118	118	352	352	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1415														
118	118	351	351	0.0	0	0	Spanner	3/4	4	1	0																	0	
118	118	351	351	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	1416										178			0	
118	118	703/2	703/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	1417													0	
118	118	352	352	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	1418													0	
118	118	705/2	705/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	1419													0	
118	118	353	353	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	1420													0	
118	118	707/2	707/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	1421													0	
119	119	354	354	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1422										179				
119	119	711/2	711/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1423														
119	119	356	356	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1424														
119	119	713/2	713/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1425														
119	119	354	354	0.0	0	0	Dynamic	3/4	2	1	0					p													
119	119	354	354	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1426														
119	119	709/2	709/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1427														
119	119	355	355	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1428														
119	119	354	354	0.0	0	0	Dynamic	3/4	3	1	0					p													
119	119	354	354	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	1429														
119	119	709/2	709/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	1430														
119	119	355	355	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1431														
119	119	354	354	0.0	0	0	Dynamic	3/4	4	1	0					p													
119	119	354	354	0.0	0	0	Spanner	3/4	4	1	0																		
119	119	354	354	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	1432														
119	119	709/2	709/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	1433														
119	119	355	355	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1434														
120	120	357	357	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1435										180				
120	120	717/2	717/2	0.0	3/8	3/8	StaffText	3/4	1	1	0							cresc.											
120	120	717/2	717/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1436														
120	120	359	359	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1437														
120	120	719/2	719/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1438														
120	120	357	357	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1439														
120	120	715/2	715/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1440														
120	120	358	358	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1441														
120	120	357	357	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	1442														
120	120	715/2	715/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	1443														
120	120	358	358	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1444														
120	120	357	357	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	1445														
120	120	715/2	715/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	1446														
120	120	358	358	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1447														
121	121	360	360	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1448														
121	121	723/2	723/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1449														
121	121	362	362	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1450														
121	121	725/2	725/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1451														
121	121	360	360	0.0	0	0	StaffText	3/4	2	1	0							cresc.											
121	121	360	360	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1452														
121	121	721/2	721/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1453														
121	121	361	361	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1454														
121	121	360	360	0.0	0	0	StaffText	3/4	3	1	0							cresc.											
121	121	360	360	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	1455														
121	121	721/2	721/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	1456														
121	121	361	361	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1457														
121	121	360	360	0.0	0	0	StaffText	3/4	4	1	0							cresc.											
121	121	360	360	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	1458														
121	121	721/2	721/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	1459														
121	121	361	361	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1460														
122	122	363	363	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1461														
122	122	729/2	729/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1462														
122	122	365	365	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1463														
122	122	731/2	731/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1464														
122	122	363	363	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1465														
122	122	727/2	727/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1466														
122	122	364	364	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1467														
122	122	363	363	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	1468														
122	122	727/2	727/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	1469														
122	122	364	364	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1470														
122	122	363	363	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	1471														
122	122	727/2	727/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	1472														
122	122	364	364	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1473														
123	123	366	366	0.0	0	0	Dynamic	3/4	1	1	0					sf													
123	123	366	366	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	1474														
123	123	735/2	735/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1475														
123	123	368	368	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1476														
123	123	737/2	737/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1477														
123	123	366	366	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	1478														
123	123	733/2	733/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	1479														
123	123	367	367	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1480														
123	123	366	366	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	1481														
123	123	733/2	733/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	1482														
123	123	367	367	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1483														
123	123	366	366	0.5	0	0	Chord	3/4	4	1	1/8		1/8	1	1484														
123	123	733/2	733/2	0.5	1/8	1/8	Chord	3/4	4	1	1/8		1/8	1	1485														
123	123	367	367	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1486														
124	124	369	369	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1487														
124	124	739/2	739/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1488														
124	124	370	370	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1489														
124	124	741/2	741/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1490														
124	124	371	371	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1491														
124	124	743/2	743/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1492														
125	125	372	372	0.0	0	0	Dynamic	3/4	1	1	0					fp													
125	125	372	372	0.0	0	0	SystemText	3/4	1	1	0								Animato										
125	125	372	372	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1493										181				
125	125	745/2	745/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1494														
125	125	373	373	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1495														
125	125	747/2	747/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1496														
125	125	374	374	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1497														
125	125	749/2	749/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1498														
125	125	372	372	0.0	0	0	Dynamic	3/4	2	1	0					fp													
125	125	372	372	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1499														
125	125	373	373	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1500										182				
125	125	374	374	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1501														
125	125	372	372	0.0	0	0	Dynamic	3/4	3	1	0					fp													
125	125	372	372	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	1502														
125	125	373	373	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1503										183				
125	125	374	374	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1504														
125	125	372	372	0.0	0	0	Dynamic	3/4	4	1	0					fp													
125	125	372	372	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	1505		articStaccatoBelow												
125	125	373	373	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1506		articStaccatoAbove												
126	126	375	375	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1507										184				
126	126	751/2	751/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1508														
126	126	376	376	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1509														
126	126	753/2	753/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1510														
126	126	377	377	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1511														
126	126	755/2	755/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1512														
126	126	376	376	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1513										185				
126	126	377	377	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1514														
126	126	376	376	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1515										186				
126	126	377	377	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1516														
126	126	375	375	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	1517		articStaccatoBelow												
126	126	376	376	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1518		articStaccatoAbove												
127	127	378	378	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1519										187				
127	127	757/2	757/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1520														
127	127	379	379	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1521		articStaccatoAbove												
127	127	759/2	759/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1522		articStaccatoAbove												
127	127	380	380	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1523		articStaccatoAbove												
127	127	761/2	761/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1524		articStaccatoAbove												
127	127	379	379	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1525										188				
127	127	380	380	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1526														
127	127	379	379	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1527										189				
127	127	380	380	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1528														
127	127	378	378	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	1529		articStaccatoBelow												
127	127	379	379	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1530		articStaccatoAbove												
128	128	381	381	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1531		articStaccatoAbove												
128	128	763/2	763/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1532		articStaccatoAbove												
128	128	382	382	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1533		articStaccatoAbove												
128	128	765/2	765/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1534		articStaccatoAbove												
128	128	383	383	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1535		articStaccatoAbove												
128	128	767/2	767/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1536		articStaccatoAbove												
128	128	381	381	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1537		articStaccatoBelow												
128	128	382	382	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1538		articStaccatoBelow												
128	128	383	383	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1539		articStaccatoBelow												
128	128	381	381	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	1540		articStaccatoAbove												
128	128	382	382	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1541		articStaccatoAbove												
128	128	383	383	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1542		articStaccatoAbove												
128	128	381	381	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	1543		articStaccatoBelow												
128	128	382	382	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1544		articStaccatoBelow												
128	128	383	383	1.0	1/2	1/2	Chord	3/4	4	1	1/4		1/4	1	1545		articStaccatoBelow												
129	129	384	384	0.0	0	0	Dynamic	3/4	1	1	0					fp													
129	129	384	384	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1546										190				
129	129	769/2	769/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1547														
129	129	385	385	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1548														
129	129	771/2	771/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1549														
129	129	386	386	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1550														
129	129	773/2	773/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1551														
129	129	384	384	0.0	0	0	Dynamic	3/4	2	1	0					fp													
129	129	384	384	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	1552														
129	129	385	385	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1553										191				
129	129	386	386	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1554														
129	129	384	384	0.0	0	0	Dynamic	3/4	3	1	0					fp													
129	129	384	384	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	1555														
129	129	385	385	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1556										192				
129	129	386	386	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1557														
129	129	384	384	0.0	0	0	Dynamic	3/4	4	1	0					fp													
129	129	384	384	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	1558														
129	129	385	385	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1559														
130	130	387	387	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1560										193				
130	130	775/2	775/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1561														
130	130	388	388	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1562														
130	130	777/2	777/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1563														
130	130	389	389	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1564														
130	130	779/2	779/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	1565														
130	130	388	388	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1566										194				
130	130	389	389	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1567														
130	130	388	388	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	1568										195				
130	130	389	389	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	1569														
130	130	387	387	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	1570														
130	130	388	388	1.0	1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	1571														
131	131	390	390	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	1572										196				
131	131	781/2	781/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1573														
131	131	391	391	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1574		articStaccatoAbove												
131	131	783/2	783/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	1575		articStaccatoAbove												
131	131	392	392	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	1576		articStaccatoAbove												
